年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
115,37,技術類出版獎,最佳MV獎,Fish Love《Pleasure》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,導演：Rodrigo Inada
115,37,技術類出版獎,最佳MV獎,Dumplings《我很抱歉》,何樂音樂有限公司,何樂音樂有限公司,導演：林宏叡
115,37,技術類出版獎,最佳演唱錄音專輯獎,當大人,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：陳振發、主要混音人員：樊乃綱、陳振發、林正忠、主要母帶後製人員：Chris Gehringer／演唱者：艾薇
115,37,技術類出版獎,最佳演唱錄音專輯獎,Pleasure,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：王永鈞、陳文駿、Xavier Daniel、主要混音人員：Josh Gudwin、Jon Castelli、Phil Tan、主要母帶後製人員：Dale Becker／演唱者：蔡依林
115,37,技術類出版獎,最佳演唱錄音專輯獎,承諾,麥丁文化事業有限公司,麥丁文化事業有限公司,主要錄音人員：André Baille-Barrelle、主要混音人員：André Baille-Barrelle、主要母帶後製人員：Pascal Luvisi／演唱者：張婷雅
115,37,技術類出版獎,最佳演唱錄音專輯獎,djekuacan 年少不努力,十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,主要錄音人員：謝豐澤、主要混音人員：Matthew Sim、主要母帶後製人員：Matthew Sim／演唱者：Matzka
115,37,技術類出版獎,最佳演唱錄音專輯獎,soul.food 靈食,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,主要錄音人員：張閔翔、劉阿洛、施森銘、黃立堯、Cookin Soul、Kvnloverboy、Wayson Scream、陳文駿、葛仲珊、主要混音人員：NealHPogue、John McLucas、Cookin Soul、施森銘、Jae Chong、謝乾乾、Matt Sim、主要母帶後製人員：Mike Bozzi／演唱者：葛仲珊
115,37,技術類出版獎,最佳演奏錄音專輯獎,Over The Moons,種種可能企業有限公司,種種可能企業有限公司,主要錄音人員：Aaron Nevezie、Alex Conroy、主要混音人員：Aaron Nevezie、蘇郁涵、主要母帶後製人員：Alex DeTurk／演奏者：蘇郁涵
115,37,技術類出版獎,最佳演奏錄音專輯獎,康達效應 Coanda Effect,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,主要錄音人員：徐振程 Jason Hsu、于世政 Shih Cheng Yu、主要混音人員：David Darlington、主要母帶後製人員：David Darlington／演奏者：DonSir樂團
115,37,技術類出版獎,最佳演奏錄音專輯獎,I Am Here,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：Vincent De Bast、主要混音人員：André Fernandes、主要母帶後製人員：André Fernandes／演奏者：陶璵（Taxodium）
115,37,技術類出版獎,最佳演奏錄音專輯獎,Invisible Nation (Original Motion Picture Soundtrack) 〈看不見的國家〉電影原聲帶,樂浪聲風股份有限公司,樂浪聲風股份有限公司,主要錄音人員：孫紹庭、主要混音人員：Phil McGowan、主要母帶後製人員：Jett Galindo／演奏者：許瑋珊
115,37,技術類出版獎,最佳演奏錄音專輯獎,我們與惡的距離II影集原聲帶,黑馬映像電影有限公司,黑馬映像電影有限公司,主要錄音人員：林孝親、主要混音人員：林孝親、林思妤、主要母帶後製人員：Rob Kleiner／演奏者：盧律銘、林孝親、林思妤
115,37,技術類個人獎,最佳裝幀設計獎,暮夜徐行,黃嘉宏,壞鄰居有限公司,
115,37,技術類個人獎,最佳裝幀設計獎,有美夢上讚 Ū bí-bāng siōng tsán,劉悅德,流星小飛象有限公司,
115,37,技術類個人獎,最佳裝幀設計獎,睏 Sleep,黃品嘉、王馨,卓著文化事業有限公司,
115,37,技術類個人獎,最佳裝幀設計獎,SAX TAPE,吳建龍、亞歷三小、蔡偉群,夕陽音樂產業有限公司,
115,37,技術類個人獎,最佳裝幀設計獎,女兒的九十九種藍——聽見零雨,聶永真、陳聖智、林智凱,目宿媒體股份有限公司,
115,37,技術類個人獎,最佳裝幀設計獎,Hidden Album,吳建龍、力王、畢展熒,明天的歌有限公司,
115,37,評審團獎,評審團獎,老翅膀,陳小霞,,
115,37,特別貢獻獎,特別貢獻獎,,屠穎,,
115,37,特別貢獻獎,特別貢獻獎,,林煌坤,,
